TRT,Tank,Contact Level,Species,Day 7,Day 14
Present,1,Contact Coral,Ofav,625,673
Present,1,Contact Coral,Ofav,649,615
Present,2,Contact Coral,Ofav,657,662
Present,2,Contact Coral,Ofav,546,0
Present,6,Contact Coral,Ofav,611,695
Present,6,Contact Coral,Ofav,608,631
Present,8,Contact Coral,Ofav,677,672
Present,8,Contact Coral,Ofav,640,652
Present,11,Contact Coral,Ofav,702,716
Present,11,Contact Coral,Ofav,654,657
Present,12,Contact Coral,Ofav,639,663
Present,12,Contact Coral,Ofav,544,658
Present,1,Contact Location,Ofav,0,0
Present,2,Contact Location,Ofav,0,0
Present,6,Contact Location,Ofav,0,0
Present,8,Contact Location,Ofav,640,601
Present,11,Contact Location,Ofav,0,0
Present,12,Contact Location,Ofav,0,0
Present,1,No Contact,Ofav,653,683
Present,1,No Contact,Ofav,584,655
Present,1,No Contact,Ofav,565,651
Present,2,No Contact,Ofav,565,577
Present,2,No Contact,Ofav,497,595
Present,2,No Contact,Ofav,554,498
Present,6,No Contact,Ofav,616,651
Present,6,No Contact,Ofav,592,588
Present,6,No Contact,Ofav,520,577
Present,8,No Contact,Ofav,575,548
Present,8,No Contact,Ofav,570,590
Present,8,No Contact,Ofav,560,552
Present,11,No Contact,Ofav,629,612
Present,11,No Contact,Ofav,564,634
Present,11,No Contact,Ofav,596,606
Present,12,No Contact,Ofav,640,631
Present,12,No Contact,Ofav,622,645
Present,12,No Contact,Ofav,559,620
Present,1,Contact Coral,Porites,510,600
Present,1,Contact Coral,Porites,395,489
Present,2,Contact Coral,Porites,176,474
Present,2,Contact Coral,Porites,524,164
Present,6,Contact Coral,Porites,348,425
Present,6,Contact Coral,Porites,336,521
Present,8,Contact Coral,Porites,282,228
Present,8,Contact Coral,Porites,57,0
Present,11,Contact Coral,Porites,378,443
Present,11,Contact Coral,Porites,403,325
Present,12,Contact Coral,Porites,154,584
Present,12,Contact Coral,Porites,344,541
Present,1,Contact Location,Porites,0,0
Present,2,Contact Location,Porites,390,321
Present,6,Contact Location,Porites,0,0
Present,8,Contact Location,Porites,0,0
Present,11,Contact Location,Porites,354,329
Present,12,Contact Location,Porites,0,0
Present,1,No Contact,Porites,479,545
Present,1,No Contact,Porites,332,413
Present,1,No Contact,Porites,326,470
Present,2,No Contact,Porites,224,191
Present,2,No Contact,Porites,203,254
Present,2,No Contact,Porites,225,224
Present,6,No Contact,Porites,250,365
Present,6,No Contact,Porites,283,322
Present,6,No Contact,Porites,287,236
Present,8,No Contact,Porites,186,189
Present,8,No Contact,Porites,171,194
Present,8,No Contact,Porites,200,291
Present,11,No Contact,Porites,295,272
Present,11,No Contact,Porites,278,237
Present,11,No Contact,Porites,272,193
Present,12,No Contact,Porites,286,420
Present,12,No Contact,Porites,301,318
Present,12,No Contact,Porites,296,336
OA,3,Contact Coral,Ofav,671,681
OA,3,Contact Coral,Ofav,619,622
OA,4,Contact Coral,Ofav,663,621
OA,4,Contact Coral,Ofav,565,618
OA,5,Contact Coral,Ofav,705,653
OA,5,Contact Coral,Ofav,0,586
OA,7,Contact Coral,Ofav,656,680
OA,7,Contact Coral,Ofav,0,674
OA,9,Contact Coral,Ofav,657,0
OA,9,Contact Coral,Ofav,640,579
OA,10,Contact Coral,Ofav,609,644
OA,10,Contact Coral,Ofav,0,648
OA,3,Contact Location,Ofav,0,0
OA,4,Contact Location,Ofav,500,0
OA,5,Contact Location,Ofav,0,0
OA,7,Contact Location,Ofav,0,0
OA,9,Contact Location,Ofav,658,0
OA,10,Contact Location,Ofav,0,0
OA,3,No Contact,Ofav,639,630
OA,3,No Contact,Ofav,0,656
OA,3,No Contact,Ofav,0,585
OA,4,No Contact,Ofav,638,606
OA,4,No Contact,Ofav,0,635
OA,4,No Contact,Ofav,0,644
OA,5,No Contact,Ofav,610,609
OA,5,No Contact,Ofav,536,618
OA,5,No Contact,Ofav,591,566
OA,7,No Contact,Ofav,581,566
OA,7,No Contact,Ofav,505,578
OA,7,No Contact,Ofav,506,541
OA,9,No Contact,Ofav,626,647
OA,9,No Contact,Ofav,561,576
OA,9,No Contact,Ofav,599,618
OA,10,No Contact,Ofav,607,599
OA,10,No Contact,Ofav,538,607
OA,10,No Contact,Ofav,551,531
OA,3,Contact Coral,Porites,354,330
OA,3,Contact Coral,Porites,352,422
OA,4,Contact Coral,Porites,336,153
OA,4,Contact Coral,Porites,351,132
OA,5,Contact Coral,Porites,337,174
OA,5,Contact Coral,Porites,470,383
OA,7,Contact Coral,Porites,626,350
OA,7,Contact Coral,Porites,496,555
OA,9,Contact Coral,Porites,401,386
OA,9,Contact Coral,Porites,439,500
OA,10,Contact Coral,Porites,394,418
OA,10,Contact Coral,Porites,370,647
OA,3,Contact Location,Porites,0,0
OA,4,Contact Location,Porites,0,0
OA,5,Contact Location,Porites,0,0
OA,7,Contact Location,Porites,0,0
OA,9,Contact Location,Porites,0,0
OA,10,Contact Location,Porites,0,0
OA,3,No Contact,Porites,246,212
OA,3,No Contact,Porites,191,180
OA,3,No Contact,Porites,183,236
OA,4,No Contact,Porites,204,177
OA,4,No Contact,Porites,264,144
OA,4,No Contact,Porites,252,145
OA,5,No Contact,Porites,189,330
OA,5,No Contact,Porites,186,262
OA,5,No Contact,Porites,217,235
OA,7,No Contact,Porites,240,255
OA,7,No Contact,Porites,314,258
OA,7,No Contact,Porites,202,268
OA,9,No Contact,Porites,300,312
OA,9,No Contact,Porites,271,247
OA,9,No Contact,Porites,255,202
OA,10,No Contact,Porites,388,491
OA,10,No Contact,Porites,380,441
OA,10,No Contact,Porites,325,531